135908701.txt,"Spiritualist newspaper - No.84, April 3rd 1874 - P.20"
135908702.txt,"Spiritualist newspaper - No.85, April 10th 1874 - P.20"
135908703.txt,"Spiritualist newspaper - No.86, April 17th 1874 - P.20"
135908704.txt,"Spiritualist newspaper - No.87, April 24th 1874 - P.20"
135908705.txt,"Spiritualist newspaper - No.88, May 1st 1874 - P.20"
135908706.txt,"Spiritualist newspaper - No.89, May 8th 1874 - P.20"
135908707.txt,"Spiritualist newspaper - No.90, May 15th 1874 - P.20"
135908708.txt,"Spiritualist newspaper - No.91, May 22nd 1874 - P.20"
135908709.txt,"Spiritualist newspaper - No.92, May 29th 1874 - P.20"
135908710.txt,"Spiritualist newspaper - No.93, June 5th 1874 - P.20"
135908711.txt,"Spiritualist newspaper - No.94, June 12th 1874 - P.20"
135908712.txt,"Spiritualist newspaper - No.95, June 19th 1874 - P.20"
135908713.txt,"Spiritualist newspaper - No.96, June 26th 1874 - P.20"
135908723.txt,"Spiritualist newspaper - No.97, July 3rd 1874 - P.20"
135908724.txt,"Spiritualist newspaper - No.98, July 10th 1874 - P.20"
135908725.txt,"Spiritualist newspaper - No.99, July 17th 1874 - P.20"
135908726.txt,"Spiritualist newspaper - No.100, July 24th 1874 - P.20"
135908727.txt,"Spiritualist newspaper - No.101, July 31st 1874 - P.20"
135908728.txt,"Spiritualist newspaper - No.102, August 7th 1874 - P.20"
135908729.txt,"Spiritualist newspaper - No.103, August 14th 1874 - P.20"
135908730.txt,"Spiritualist newspaper - No.104, August 21st 1874 - P.20"
135908731.txt,"Spiritualist newspaper - No.105, August 28th 1874 - P.20"
135908732.txt,"Spiritualist newspaper - No.106, September 4th 1874 - P.20"
135908733.txt,"Spiritualist newspaper - No.107, September 11th 1874 - P.20"
135908734.txt,"Spiritualist newspaper - No.108, September 18th 1874 - P.20"
135908735.txt,"Spiritualist newspaper - No.109, September 25th 1874 - P.20"
135908736.txt,"Spiritualist newspaper - No.110, October 2nd 1874 - P.20"
135908737.txt,"Spiritualist newspaper - No.111, October 9th 1874 - P.20"
135908738.txt,"Spiritualist newspaper - No.112, October 16th 1874 - P.20"
135908739.txt,"Spiritualist newspaper - No.113, October 23rd 1874 - P.20"
135908740.txt,"Spiritualist newspaper - No.114, October 30th 1874 - P.20"
135908741.txt,"Spiritualist newspaper - No.115, November 6th 1874 - P.20"
135908742.txt,"Spiritualist newspaper - No.116, November 13th 1874 - P.20"
135908743.txt,"Spiritualist newspaper - No.117, November 20th 1874 - P.20"
135908744.txt,"Spiritualist newspaper - No.118, November 27th 1874 - P.20"
135908745.txt,"Spiritualist newspaper - No.119, December 4th 1874 - P.20"
135908746.txt,"Spiritualist newspaper - No.120, December 11th 1874 - P.20"
135908747.txt,"Spiritualist newspaper - No.121, December 18th 1874 - P.20"
135908748.txt,"Spiritualist newspaper - No.122, December 25th 1874 - P.20"
135912255.txt,"Spiritualist newspaper - No.123, January 1st 1875 - P.20"
135912256.txt,"Spiritualist newspaper - No.124, January 8th 1875 - P.20"
135912257.txt,"Spiritualist newspaper - No.125, January 15th 1875 - P.20"
135912258.txt,"Spiritualist newspaper - No.126, January 22nd 1875 - P.20"
135912259.txt,"Spiritualist newspaper - No.127, January 29th 1875 - P.20"
135912260.txt,"Spiritualist newspaper - No.128, February 5th 1875 - P.20"
135912261.txt,"Spiritualist newspaper - No.129, February 12th 1875 - P.20"
135912262.txt,"Spiritualist newspaper - No.130, February 19th 1875 - P.20"
135912263.txt,"Spiritualist newspaper - No.131, February 26th 1875 - P.20"
135912264.txt,"Spiritualist newspaper - No.132, March 5th 1875 - P.20"
135912265.txt,"Spiritualist newspaper - No.133, March 12th 1875 - P.20"
135912266.txt,"Spiritualist newspaper - No.134, March 19th 1875 - P.20"
135912267.txt,"Spiritualist newspaper - No.135, March 26th 1875 - P.20"
135912268.txt,"Spiritualist newspaper - No.136, April 2nd 1875 - P.20"
135912269.txt,"Spiritualist newspaper - No.137, April 9th 1875 - P.20"
135912270.txt,"Spiritualist newspaper - No.138, April 16th 1875 - P.20"
135912271.txt,"Spiritualist newspaper - No.139, April 23rd 1875 - P.20"
135912272.txt,"Spiritualist newspaper - No.140, April 30th 1875 - P.20"
135912273.txt,"Spiritualist newspaper - No.141, May 7th 1875 - P.20"
135912274.txt,"Spiritualist newspaper - No.142, May 14th 1875 - P.20"
135912275.txt,"Spiritualist newspaper - No.143, May 21st 1875 - P.20"
135912276.txt,"Spiritualist newspaper - No.144, May 28th 1875 - P.20"
135912277.txt,"Spiritualist newspaper - No.145, June 4th 1875 - P.20"
135912278.txt,"Spiritualist newspaper - No.146, June 11th 1875 - P.20"
135912279.txt,"Spiritualist newspaper - No.147, June 18th 1875 - P.20"
135912280.txt,"Spiritualist newspaper - No.148, June 25th 1875 - P.20"
135912281.txt,"Spiritualist newspaper - No.149, July 2nd 1875 - P.20"
135912282.txt,"Spiritualist newspaper - No.150, July 9th 1875 - P.20"
135912283.txt,"Spiritualist newspaper - No.151, July 16th 1875 - P.20"
135912284.txt,"Spiritualist newspaper - No.152, July 23rd 1875 - P.20"
135912285.txt,"Spiritualist newspaper - No.153, July 30th 1875 - P.20"
135912286.txt,"Spiritualist newspaper - No.154, August 6th 1875 - P.20"
135912287.txt,"Spiritualist newspaper - No.155, August 13th 1875 - P.20"
135912288.txt,"Spiritualist newspaper - No.156, August 20th 1875 - P.20"
135912289.txt,"Spiritualist newspaper - No.157, August 27th 1875 - P.20"
135912290.txt,"Spiritualist newspaper - No.158, September 3rd 1875 - P.20"
135912291.txt,"Spiritualist newspaper - No.159, September 10th 1875 - P.20"
135912292.txt,"Spiritualist newspaper - No.160, September 17th 1875 - P.20"
135912293.txt,"Spiritualist newspaper - No.161, September 24th 1875 - P.20"
135912294.txt,"Spiritualist newspaper - No.162, October 1st 1875 - P.20"
135912295.txt,"Spiritualist newspaper - No.163, October 8th 1875 - P.20"
135912296.txt,"Spiritualist newspaper - No.164, October 15th 1875 - P.20"
135912297.txt,"Spiritualist newspaper - No.165, October 22nd 1875 - P.20"
135912298.txt,"Spiritualist newspaper - No.166, October 29th 1875 - P.20"
135912299.txt,"Spiritualist newspaper - No.167, November 5th 1875 - P.20"
135912300.txt,"Spiritualist newspaper - No.168, November 12th 1875 - P.20"
135912301.txt,"Spiritualist newspaper - No.169, November 19th 1875 - P.20"
135912302.txt,"Spiritualist newspaper - No.170, November 26th 1875 - P.20"
135912303.txt,"Spiritualist newspaper - No.171, December 3rd 1875 - P.20"
135912304.txt,"Spiritualist newspaper - No.172, December 10th 1875 - P.20"
135912305.txt,"Spiritualist newspaper - No.173, December 17th 1875 - P.20"
135912306.txt,"Spiritualist newspaper - No.174, December 24th 1875 - P.20"
135912307.txt,"Spiritualist newspaper - No.175, December 31st 1875 - P.20"
135912309.txt,"Spiritualist newspaper - No.176, January 7th 1876 - P.20"
135912310.txt,"Spiritualist newspaper - No.177, January 14th 1876 - P.20"
135912311.txt,"Spiritualist newspaper - No.178, January 21st 1876 - P.20"
135912312.txt,"Spiritualist newspaper - No.179, January 28th 1876 - P.20"
135912313.txt,"Spiritualist newspaper - No.180, February 4th 1876 - P.20"
135912314.txt,"Spiritualist newspaper - No.181, February 11th 1876 - P.20"
135912315.txt,"Spiritualist newspaper - No.182, February 18th 1876 - P.20"
135912316.txt,"Spiritualist newspaper - No.183, February 25th 1876 - P.20"
135912317.txt,"Spiritualist newspaper - No.184, March 3rd 1876 - P.20"
135912318.txt,"Spiritualist newspaper - No.185, March 10th 1876 - P.20"
135912319.txt,"Spiritualist newspaper - No.186, March 17th 1876 - P.20"
135912320.txt,"Spiritualist newspaper - No.187, March 24th 1876 - P.20"
135912321.txt,"Spiritualist newspaper - No.188, March 31st 1876 - P.20"
135912322.txt,"Spiritualist newspaper - No.189, April 7th 1876 - P.20"
135912323.txt,"Spiritualist newspaper - No.190, April 14th 1876 - P.20"
135912324.txt,"Spiritualist newspaper - No.191, April 21st 1876 - P.20"
135912325.txt,"Spiritualist newspaper - No.192, April 28th 1876 - P.20"
135912326.txt,"Spiritualist newspaper - No.193, May 5th 1876 - P.20"
135912327.txt,"Spiritualist newspaper - No.194, May 12th 1876 - P.20"
135912328.txt,"Spiritualist newspaper - No.195, May 19th 1876 - P.20"
135912329.txt,"Spiritualist newspaper - No.196, May 26th 1876 - P.20"
135912330.txt,"Spiritualist newspaper - No.197, June 2nd 1876 - P.20"
135912331.txt,"Spiritualist newspaper - No.198, June 9th 1876 - P.20"
135912332.txt,"Spiritualist newspaper - No.199, June 16th 1876 - P.20"
135912333.txt,"Spiritualist newspaper - No.200, June 23rd 1876 - P.20"
135912334.txt,"Spiritualist newspaper - No.201, June 30th 1876 - P.20"
135912335.txt,"Spiritualist newspaper - No.202, July 7th 1876 - P.20"
135912336.txt,"Spiritualist newspaper - No.203, July 14th 1876 - P.20"
135912337.txt,"Spiritualist newspaper - No.204, July 21st 1876 - P.20"
135912338.txt,"Spiritualist newspaper - No.205, July 28th 1876 - P.20"
135942057.txt,"Spiritualist newspaper - No.206, August 4th 1876 - P.20"
135942058.txt,"Spiritualist newspaper - No.207, August 11th 1876 - P.20"
135942059.txt,"Spiritualist newspaper - No.208, August 18th 1876 - P.20"
135942060.txt,"Spiritualist newspaper - No.209, August 25th 1876 - P.20"
135942061.txt,"Spiritualist newspaper - No.210, September 1st 1876 - P.20"
135942062.txt,"Spiritualist newspaper - No.211, September 8th 1876 - P.20"
135942063.txt,"Spiritualist newspaper - No.212, September 15th 1876 - P.20"
135942064.txt,"Spiritualist newspaper - No.213, September 22nd 1876 - P.20"
135942065.txt,"Spiritualist newspaper - No.214, September 29th 1876 - P.20"
